chart,age,age_units,gender,measure,measure_units,L,M,S
zemel_2015_infant,0,months,f,weight,kg,0.192,3.069,0.145
zemel_2015_infant,1,months,f,weight,kg,0.131,3.623,0.144
zemel_2015_infant,2,months,f,weight,kg,0.071,4.171,0.143
zemel_2015_infant,3,months,f,weight,kg,0.012,4.706,0.143
zemel_2015_infant,4,months,f,weight,kg,-0.045,5.22,0.142
zemel_2015_infant,5,months,f,weight,kg,-0.1,5.706,0.141
zemel_2015_infant,6,months,f,weight,kg,-0.152,6.161,0.141
zemel_2015_infant,7,months,f,weight,kg,-0.201,6.582,0.141
zemel_2015_infant,8,months,f,weight,kg,-0.248,6.968,0.14
zemel_2015_infant,9,months,f,weight,kg,-0.291,7.323,0.14
zemel_2015_infant,10,months,f,weight,kg,-0.331,7.648,0.14
zemel_2015_infant,11,months,f,weight,kg,-0.368,7.947,0.14
zemel_2015_infant,12,months,f,weight,kg,-0.402,8.223,0.14
zemel_2015_infant,13,months,f,weight,kg,-0.434,8.478,0.14
zemel_2015_infant,14,months,f,weight,kg,-0.463,8.716,0.14
zemel_2015_infant,15,months,f,weight,kg,-0.49,8.939,0.14
zemel_2015_infant,16,months,f,weight,kg,-0.515,9.148,0.14
zemel_2015_infant,17,months,f,weight,kg,-0.539,9.346,0.14
zemel_2015_infant,18,months,f,weight,kg,-0.561,9.535,0.14
zemel_2015_infant,19,months,f,weight,kg,-0.582,9.716,0.14
zemel_2015_infant,20,months,f,weight,kg,-0.601,9.889,0.141
zemel_2015_infant,21,months,f,weight,kg,-0.62,10.056,0.141
zemel_2015_infant,22,months,f,weight,kg,-0.637,10.217,0.141
zemel_2015_infant,23,months,f,weight,kg,-0.654,10.374,0.141
zemel_2015_infant,24,months,f,weight,kg,-0.67,10.526,0.141
zemel_2015_infant,25,months,f,weight,kg,-0.686,10.674,0.142
zemel_2015_infant,26,months,f,weight,kg,-0.7,10.819,0.142
zemel_2015_infant,27,months,f,weight,kg,-0.715,10.96,0.142
zemel_2015_infant,28,months,f,weight,kg,-0.729,11.098,0.142
zemel_2015_infant,29,months,f,weight,kg,-0.742,11.235,0.143
zemel_2015_infant,30,months,f,weight,kg,-0.755,11.37,0.143
zemel_2015_infant,31,months,f,weight,kg,-0.768,11.504,0.143
zemel_2015_infant,32,months,f,weight,kg,-0.781,11.639,0.143
zemel_2015_infant,33,months,f,weight,kg,-0.794,11.774,0.144
zemel_2015_infant,34,months,f,weight,kg,-0.807,11.911,0.144
zemel_2015_infant,35,months,f,weight,kg,-0.819,12.049,0.144
zemel_2015_infant,36,months,f,weight,kg,-0.832,12.19,0.145
zemel_2015_infant,1,months,f,length,cm,1.957,52.958,0.037
zemel_2015_infant,2,months,f,length,cm,1.957,54.934,0.038
zemel_2015_infant,3,months,f,length,cm,1.957,56.904,0.038
zemel_2015_infant,4,months,f,length,cm,1.957,58.84,0.038
zemel_2015_infant,5,months,f,length,cm,1.957,60.704,0.039
zemel_2015_infant,6,months,f,length,cm,1.957,62.466,0.039
zemel_2015_infant,7,months,f,length,cm,1.957,64.1,0.039
zemel_2015_infant,8,months,f,length,cm,1.957,65.594,0.04
zemel_2015_infant,9,months,f,length,cm,1.957,66.953,0.04
zemel_2015_infant,10,months,f,length,cm,1.957,68.19,0.04
zemel_2015_infant,11,months,f,length,cm,1.957,69.318,0.041
zemel_2015_infant,12,months,f,length,cm,1.957,70.357,0.041
zemel_2015_infant,13,months,f,length,cm,1.957,71.328,0.041
zemel_2015_infant,14,months,f,length,cm,1.957,72.244,0.042
zemel_2015_infant,15,months,f,length,cm,1.957,73.115,0.042
zemel_2015_infant,16,months,f,length,cm,1.957,73.942,0.042
zemel_2015_infant,17,months,f,length,cm,1.957,74.729,0.043
zemel_2015_infant,18,months,f,length,cm,1.957,75.477,0.043
zemel_2015_infant,19,months,f,length,cm,1.957,76.19,0.043
zemel_2015_infant,20,months,f,length,cm,1.957,76.872,0.043
zemel_2015_infant,21,months,f,length,cm,1.957,77.529,0.043
zemel_2015_infant,22,months,f,length,cm,1.957,78.163,0.044
zemel_2015_infant,23,months,f,length,cm,1.957,78.774,0.044
zemel_2015_infant,24,months,f,length,cm,1.957,79.361,0.044
zemel_2015_infant,25,months,f,length,cm,1.957,79.925,0.044
zemel_2015_infant,26,months,f,length,cm,1.957,80.465,0.044
zemel_2015_infant,27,months,f,length,cm,1.957,80.982,0.045
zemel_2015_infant,28,months,f,length,cm,1.957,81.48,0.045
zemel_2015_infant,29,months,f,length,cm,1.957,81.964,0.045
zemel_2015_infant,30,months,f,length,cm,1.957,82.438,0.045
zemel_2015_infant,31,months,f,length,cm,1.957,82.908,0.045
zemel_2015_infant,32,months,f,length,cm,1.957,83.377,0.045
zemel_2015_infant,33,months,f,length,cm,1.957,83.849,0.046
zemel_2015_infant,34,months,f,length,cm,1.957,84.328,0.046
zemel_2015_infant,35,months,f,length,cm,1.957,84.819,0.046
zemel_2015_infant,36,months,f,length,cm,1.957,85.323,0.046
zemel_2015_infant,1,months,f,head_circ,cm,3.049,36.352,0.03
zemel_2015_infant,2,months,f,head_circ,cm,3.049,37.148,0.03
zemel_2015_infant,3,months,f,head_circ,cm,3.049,37.937,0.03
zemel_2015_infant,4,months,f,head_circ,cm,3.049,38.705,0.03
zemel_2015_infant,5,months,f,head_circ,cm,3.049,39.436,0.03
zemel_2015_infant,6,months,f,head_circ,cm,3.049,40.119,0.03
zemel_2015_infant,7,months,f,head_circ,cm,3.049,40.737,0.03
zemel_2015_infant,8,months,f,head_circ,cm,3.049,41.282,0.03
zemel_2015_infant,9,months,f,head_circ,cm,3.049,41.758,0.03
zemel_2015_infant,10,months,f,head_circ,cm,3.049,42.17,0.03
zemel_2015_infant,11,months,f,head_circ,cm,3.049,42.526,0.03
zemel_2015_infant,12,months,f,head_circ,cm,3.049,42.837,0.03
zemel_2015_infant,13,months,f,head_circ,cm,3.049,43.111,0.03
zemel_2015_infant,14,months,f,head_circ,cm,3.049,43.352,0.03
zemel_2015_infant,15,months,f,head_circ,cm,3.049,43.57,0.03
zemel_2015_infant,16,months,f,head_circ,cm,3.049,43.767,0.03
zemel_2015_infant,17,months,f,head_circ,cm,3.049,43.949,0.03
zemel_2015_infant,18,months,f,head_circ,cm,3.049,44.119,0.03
zemel_2015_infant,19,months,f,head_circ,cm,3.049,44.279,0.03
zemel_2015_infant,20,months,f,head_circ,cm,3.049,44.428,0.03
zemel_2015_infant,21,months,f,head_circ,cm,3.049,44.571,0.03
zemel_2015_infant,22,months,f,head_circ,cm,3.049,44.71,0.03
zemel_2015_infant,23,months,f,head_circ,cm,3.049,44.847,0.03
zemel_2015_infant,24,months,f,head_circ,cm,3.049,44.983,0.03
zemel_2015_infant,25,months,f,head_circ,cm,3.049,45.114,0.03
zemel_2015_infant,26,months,f,head_circ,cm,3.049,45.237,0.03
zemel_2015_infant,27,months,f,head_circ,cm,3.049,45.347,0.03
zemel_2015_infant,28,months,f,head_circ,cm,3.049,45.441,0.03
zemel_2015_infant,29,months,f,head_circ,cm,3.049,45.521,0.03
zemel_2015_infant,30,months,f,head_circ,cm,3.049,45.587,0.03
zemel_2015_infant,31,months,f,head_circ,cm,3.049,45.642,0.03
zemel_2015_infant,32,months,f,head_circ,cm,3.049,45.683,0.03
zemel_2015_infant,33,months,f,head_circ,cm,3.049,45.715,0.03
zemel_2015_infant,34,months,f,head_circ,cm,3.049,45.743,0.03
zemel_2015_infant,35,months,f,head_circ,cm,3.049,45.772,0.03
zemel_2015_infant,36,months,f,head_circ,cm,3.049,45.795,0.03
zemel_2015_infant,0,months,m,weight,kg,0.576,3.177,0.151
zemel_2015_infant,1,months,m,weight,kg,0.559,3.867,0.148
zemel_2015_infant,2,months,m,weight,kg,0.542,4.562,0.146
zemel_2015_infant,3,months,m,weight,kg,0.526,5.247,0.144
zemel_2015_infant,4,months,m,weight,kg,0.511,5.903,0.141
zemel_2015_infant,5,months,m,weight,kg,0.496,6.504,0.139
zemel_2015_infant,6,months,m,weight,kg,0.482,7.036,0.138
zemel_2015_infant,7,months,m,weight,kg,0.469,7.5,0.136
zemel_2015_infant,8,months,m,weight,kg,0.457,7.902,0.135
zemel_2015_infant,9,months,m,weight,kg,0.446,8.251,0.134
zemel_2015_infant,10,months,m,weight,kg,0.436,8.559,0.133
zemel_2015_infant,11,months,m,weight,kg,0.427,8.834,0.132
zemel_2015_infant,12,months,m,weight,kg,0.419,9.084,0.131
zemel_2015_infant,13,months,m,weight,kg,0.412,9.315,0.131
zemel_2015_infant,14,months,m,weight,kg,0.405,9.531,0.13
zemel_2015_infant,15,months,m,weight,kg,0.399,9.735,0.13
zemel_2015_infant,16,months,m,weight,kg,0.393,9.928,0.13
zemel_2015_infant,17,months,m,weight,kg,0.388,10.112,0.129
zemel_2015_infant,18,months,m,weight,kg,0.383,10.288,0.129
zemel_2015_infant,19,months,m,weight,kg,0.378,10.457,0.129
zemel_2015_infant,20,months,m,weight,kg,0.373,10.62,0.129
zemel_2015_infant,21,months,m,weight,kg,0.369,10.777,0.129
zemel_2015_infant,22,months,m,weight,kg,0.365,10.93,0.129
zemel_2015_infant,23,months,m,weight,kg,0.361,11.08,0.129
zemel_2015_infant,24,months,m,weight,kg,0.357,11.227,0.129
zemel_2015_infant,25,months,m,weight,kg,0.353,11.371,0.129
zemel_2015_infant,26,months,m,weight,kg,0.349,11.513,0.129
zemel_2015_infant,27,months,m,weight,kg,0.346,11.652,0.129
zemel_2015_infant,28,months,m,weight,kg,0.342,11.789,0.129
zemel_2015_infant,29,months,m,weight,kg,0.339,11.922,0.129
zemel_2015_infant,30,months,m,weight,kg,0.335,12.053,0.129
zemel_2015_infant,31,months,m,weight,kg,0.332,12.182,0.129
zemel_2015_infant,32,months,m,weight,kg,0.328,12.308,0.13
zemel_2015_infant,33,months,m,weight,kg,0.325,12.432,0.13
zemel_2015_infant,34,months,m,weight,kg,0.322,12.554,0.13
zemel_2015_infant,35,months,m,weight,kg,0.319,12.674,0.13
zemel_2015_infant,36,months,m,weight,kg,0.316,12.794,0.13
zemel_2015_infant,1,months,m,length,cm,0.453,52.632,0.039
zemel_2015_infant,2,months,m,length,cm,0.453,55.065,0.04
zemel_2015_infant,3,months,m,length,cm,0.453,57.45,0.04
zemel_2015_infant,4,months,m,length,cm,0.453,59.745,0.04
zemel_2015_infant,5,months,m,length,cm,0.453,61.904,0.04
zemel_2015_infant,6,months,m,length,cm,0.453,63.894,0.041
zemel_2015_infant,7,months,m,length,cm,0.453,65.702,0.041
zemel_2015_infant,8,months,m,length,cm,0.453,67.329,0.041
zemel_2015_infant,9,months,m,length,cm,0.453,68.783,0.041
zemel_2015_infant,10,months,m,length,cm,0.453,70.09,0.042
zemel_2015_infant,11,months,m,length,cm,0.453,71.276,0.042
zemel_2015_infant,12,months,m,length,cm,0.453,72.364,0.042
zemel_2015_infant,13,months,m,length,cm,0.453,73.375,0.042
zemel_2015_infant,14,months,m,length,cm,0.453,74.328,0.043
zemel_2015_infant,15,months,m,length,cm,0.453,75.231,0.043
zemel_2015_infant,16,months,m,length,cm,0.453,76.086,0.043
zemel_2015_infant,17,months,m,length,cm,0.453,76.897,0.043
zemel_2015_infant,18,months,m,length,cm,0.453,77.664,0.043
zemel_2015_infant,19,months,m,length,cm,0.453,78.391,0.044
zemel_2015_infant,20,months,m,length,cm,0.453,79.079,0.044
zemel_2015_infant,21,months,m,length,cm,0.453,79.73,0.044
zemel_2015_infant,22,months,m,length,cm,0.453,80.35,0.044
zemel_2015_infant,23,months,m,length,cm,0.453,80.942,0.044
zemel_2015_infant,24,months,m,length,cm,0.453,81.511,0.044
zemel_2015_infant,25,months,m,length,cm,0.453,82.057,0.044
zemel_2015_infant,26,months,m,length,cm,0.453,82.583,0.045
zemel_2015_infant,27,months,m,length,cm,0.453,83.09,0.045
zemel_2015_infant,28,months,m,length,cm,0.453,83.58,0.045
zemel_2015_infant,29,months,m,length,cm,0.453,84.056,0.045
zemel_2015_infant,30,months,m,length,cm,0.453,84.522,0.045
zemel_2015_infant,31,months,m,length,cm,0.453,84.979,0.045
zemel_2015_infant,32,months,m,length,cm,0.453,85.431,0.045
zemel_2015_infant,33,months,m,length,cm,0.453,85.88,0.045
zemel_2015_infant,34,months,m,length,cm,0.453,86.328,0.045
zemel_2015_infant,35,months,m,length,cm,0.453,86.774,0.046
zemel_2015_infant,36,months,m,length,cm,0.453,87.222,0.046
zemel_2015_infant,1,months,m,head_circ,cm,3.861,35.904,0.027
zemel_2015_infant,2,months,m,head_circ,cm,3.861,37.374,0.027
zemel_2015_infant,3,months,m,head_circ,cm,3.861,38.776,0.027
zemel_2015_infant,4,months,m,head_circ,cm,3.861,40.036,0.027
zemel_2015_infant,5,months,m,head_circ,cm,3.861,41.058,0.027
zemel_2015_infant,6,months,m,head_circ,cm,3.861,41.858,0.027
zemel_2015_infant,7,months,m,head_circ,cm,3.861,42.465,0.027
zemel_2015_infant,8,months,m,head_circ,cm,3.861,42.933,0.027
zemel_2015_infant,9,months,m,head_circ,cm,3.861,43.317,0.027
zemel_2015_infant,10,months,m,head_circ,cm,3.861,43.645,0.027
zemel_2015_infant,11,months,m,head_circ,cm,3.861,43.924,0.027
zemel_2015_infant,12,months,m,head_circ,cm,3.861,44.169,0.027
zemel_2015_infant,13,months,m,head_circ,cm,3.861,44.386,0.027
zemel_2015_infant,14,months,m,head_circ,cm,3.861,44.578,0.027
zemel_2015_infant,15,months,m,head_circ,cm,3.861,44.751,0.027
zemel_2015_infant,16,months,m,head_circ,cm,3.861,44.907,0.027
zemel_2015_infant,17,months,m,head_circ,cm,3.861,45.048,0.027
zemel_2015_infant,18,months,m,head_circ,cm,3.861,45.178,0.027
zemel_2015_infant,19,months,m,head_circ,cm,3.861,45.298,0.027
zemel_2015_infant,20,months,m,head_circ,cm,3.861,45.409,0.027
zemel_2015_infant,21,months,m,head_circ,cm,3.861,45.511,0.027
zemel_2015_infant,22,months,m,head_circ,cm,3.861,45.611,0.027
zemel_2015_infant,23,months,m,head_circ,cm,3.861,45.715,0.027
zemel_2015_infant,24,months,m,head_circ,cm,3.861,45.826,0.027
zemel_2015_infant,25,months,m,head_circ,cm,3.861,45.941,0.027
zemel_2015_infant,26,months,m,head_circ,cm,3.861,46.055,0.027
zemel_2015_infant,27,months,m,head_circ,cm,3.861,46.159,0.027
zemel_2015_infant,28,months,m,head_circ,cm,3.861,46.25,0.027
zemel_2015_infant,29,months,m,head_circ,cm,3.861,46.333,0.027
zemel_2015_infant,30,months,m,head_circ,cm,3.861,46.41,0.027
zemel_2015_infant,31,months,m,head_circ,cm,3.861,46.483,0.027
zemel_2015_infant,32,months,m,head_circ,cm,3.861,46.554,0.027
zemel_2015_infant,33,months,m,head_circ,cm,3.861,46.623,0.027
zemel_2015_infant,34,months,m,head_circ,cm,3.861,46.689,0.027
zemel_2015_infant,35,months,m,head_circ,cm,3.861,46.753,0.027
zemel_2015_infant,36,months,m,head_circ,cm,3.861,46.813,0.027
zemel_2015_pedi,2,years,f,weight,kg,-0.67,10.526,0.141
zemel_2015_pedi,2.5,years,f,weight,kg,-0.755,11.37,0.143
zemel_2015_pedi,3,years,f,weight,kg,-0.832,12.19,0.145
zemel_2015_pedi,3.5,years,f,weight,kg,-0.909,13.083,0.147
zemel_2015_pedi,4,years,f,weight,kg,-0.984,14.039,0.15
zemel_2015_pedi,4.5,years,f,weight,kg,-1.055,15.067,0.154
zemel_2015_pedi,5,years,f,weight,kg,-1.12,16.12,0.158
